kaptCode,기본정보.1.kaptName,bjdCode,평균_매매가,평균_전세가,전용면적,갭차이,kaptdaCnt,기본정보.1.kaptAddr,기본정보.1.kaptDongCnt,기본정보.1.kaptdaCnt,기본정보.1.hoCnt,기본정보.1.privArea,기본정보.1.bjdCode
A45176705,명지미래힐1차,4122025621,14700,14000,83.456,700,287,경기도 평택시 포승읍 내기리 697 명지미래힐1차,4,287,287,23951.872,4122025621
A10024739,이천 마장 리젠시빌란트,4150034021,27305,26550,57.3766,755,298,경기도 이천시 마장면 오천리 4-6 이천 마장 리젠시빌란트,4,298,298,17036.0488,4150034021
A45671419,공도주은풍림,4155025025,11890,10800,49.77,1090,2615,경기도 안성시 공도읍 용두리 752 공도주은풍림,12,2615,2615,131430.15,4155025025
A45073517,시대한우리,4122011800,11100,10000,35.743,1100,550,경기도 평택시 비전동 874 시대한우리,4,550,550,24198.702,4122011800
A46971711,,4167010900,11285.71429,10000,59.995,1285.714286,,,,,,,
A40575812,만수 뉴서울 아파트,2820010300,10231.57895,8900,34.65,1331.578947,1234,인천광역시 남동구 만수동 1044 만수 뉴서울 아파트,6,1234,1234,42758.1,2820010300
A40010302,신흥아이파크 아파트,2811012800,20928.57143,19500,59.904,1428.571429,1330,인천광역시 중구 신흥동3가 7-235 신흥아이파크 아파트,9,1330,1330,108418.504,2811012800
A48791104,,4165034022,6950,5500,53.008,1450,,,,,,,
A40204001,학익두산위브,2817710300,9500,7900,15.987,1600,432,인천광역시 미추홀구 학익동 739 학익두산위브,3,432,432,44656.069,2817710300
A45974409,이충부영3단지,4122010900,14422.91667,12666.66667,56.62,1756.25,600,경기도 평택시 이충동 594-2 이충부영3단지,5,600,600,34161.24,4122010900
A48312001,상패주공,4125011200,7000,5000,39.99,2000,498,경기도 동두천시 상패동 61 상패주공,6,498,498,23962,4125011200
A46985618,,4167012200,7044.444444,5000,37.52,2044.444444,,,,,,,
A44772116,운암주공5단지,4137010300,19200,17000,49.95,2200,1186,경기도 오산시 원동 815-1 운암주공5단지,13,1186,1186,68996.53,4137010300
A10027209,신동백동도센트리움,4146311600,26200,24000,36.214,2200,254,경기도 용인기흥구 중동 1140 신동백동도센트리움,2,254,254,8177.589,4146311600
A44021003,수원로얄팰리스,4111113500,12750,10250,26.65,2500,614,경기도 수원장안구 송죽동 514 수원로얄팰리스,7,614,685,44360.36,4111113500
A48375502,송내주공5단지,4125010100,15542.85714,13000,59.92,2542.857143,577,경기도 동두천시 송내동 696-3 송내주공5단지,9,577,577,48780.37,4125010100
A48373913,송내주공1단지,4125010200,16041.66667,13000,59.56,3041.666667,1862,경기도 동두천시 지행동 717-2 송내주공1단지,,1862,0,135210.38,4125010200
A41137104,주엽강선마을11단지태영,4128710200,20250,17000,41.85,3250,344,경기도 고양일산서구 주엽동 73 주엽강선마을11단지태영,2,344,344,14396.4,4128710200
A10027618,안성 롯데캐슬 아파트,4155035031,22480,19200,74.46632,3280,2320,경기도 안성시 대덕면 신령리 820 안성 롯데캐슬 아파트,30,2320,2320,159991.2517,4155035031
A46980118,,4167012200,25300,22000,84.98,3300,,,,,,,
A40302005,삼보,2823710300,17500,14000,55.12,3500,295,인천광역시 부평구 산곡동 180-116 삼보,4,295,295,17517.765,2823710300
A41506005,김포전원마을월드3단지,4157010300,41500,38000,164.97,3500,324,경기도 김포시 운양동 1439 김포전원마을월드3단지,4,324,324,35729.86,4157010300
A46404003,곤지암킴스빌리지,4161025936,15600,12100,41.598,3500,1152,경기도 광주시 곤지암읍 삼리 125-1 곤지암킴스빌리지,4,1152,1152,49639.68,4161025936
A45170406,송화우미이노스빌,4122025045,20671.42857,17000,80.9879,3671.428571,719,경기도 평택시 팽성읍 송화리 788-1 송화우미이노스빌,12,719,719,59577.9701,4122025045
A48373801,송내아이파크,4125010100,23800,20000,84.7643,3800,424,경기도 동두천시 송내동 664-4 송내아이파크,7,424,424,44429.4612,4125010100
A48075603,용현세아1차,4115010500,19000,15000,84.88,4000,202,경기도 의정부시 용현동 390 용현세아1차,2,202,202,17145.76,4115010500
A48093615,신곡주공4단지,4115010400,18575,14500,49.79,4075,957,경기도 의정부시 신곡동 754 신곡주공4단지,10,957,957,53741.9,4115010400
A45670403,금산주은청설,4155011400,8292.5,4000,39.75,4292.5,457,경기도 안성시 금산동 81-2 금산주은청설,5,457,457,32850.72,4155011400
A44901004,예진마을2차,4146110600,19000,14500,59.5627,4500,416,경기도 용인처인구 고림동 995 예진마을2차,8,416,416,38660.5056,4146110600
A10026405,,4182032521,20500,16000,59.87,4500,,,,,,,
A40204109,학익동아풍림,2817710300,28037.5,23458.33333,74.10583333,4579.166667,1480,인천광역시 미추홀구 학익동 719 학익동아풍림,22,1480,1480,159208,2817710300
A10024746,,4180025321,12100,7300,42.18,4800,,,,,,,
A10026955,,4163033021,19665,14200,59.987,5465,,,,,,,
A46771203,브라운스톤,4150010700,36500,31000,84.446,5500,214,경기도 이천시 안흥동 307-7 브라운스톤,3,214,233,18053.1802,4150010700
A48077007,장암주공2단지,4115010300,17100,11550,41.85,5550,1661,경기도 의정부시 장암동 5 장암주공2단지,16,1661,1661,82594.83,4115010300
A10025488,서해그랑블아파트,4155025021,25700,20000,72.7378,5700,976,경기도 안성시 공도읍 양기리 615 서해그랑블아파트,10,976,976,62047.1769,4155025021
A47691103,,4183031021,25700,20000,84.9088,5700,,,,,,,
A48690304,,4180025321,15800,10000,66.604,5800,,,,,,,
A10021482,동양아파트,4125010300,20900,15000,84.9414,5900,132,경기도 동두천시 생연동 251- 동양아파트,2,132,132,7912.08,4125010300
A48370313,동두천월드메르디앙,4125010300,18960,13000,84.4174,5960,361,경기도 동두천시 생연동 231 동두천월드메르디앙,7,361,361,30291.9558,4125010300
A10024452,,4165025021,24356.25,18250,62.8145,6106.25,,,,,,,
A48302007,지행주공2단지,4125010200,12583.33333,6000,59.99,6583.333333,491,경기도 동두천시 지행동 270-3 지행주공2단지,7,491,491,28730.89,4125010200
A45624002,신원아침도시,4155011800,28333.33333,21500,84.99,6833.333333,614,경기도 안성시 석정동 355 신원아침도시,8,614,614,54826.38,4155011800
A48373910,지행동원베네스트,4125010200,26880,20000,84.886,6880,486,경기도 동두천시 지행동 354 지행동원베네스트,11,486,486,44002.483,4125010200
A41383318,해솔마을3단지 운정현대,4148011700,31115,24000,84.993,7115,1274,경기도 파주시 목동동 2-110 해솔마을3단지 운정현대,16,1274,1274,116917.976,4148011700
A10023069,,4183040024,29775,22500,59.990525,7275,,,,,,,
A45973601,칠괴우림필유,4122010400,24300,17000,84.981225,7300,352,경기도 평택시 칠괴동 601 칠괴우림필유,6,352,352,29912.96,4122010400
A10026638,"가좌두산위브트레지움1,2단지아파트",2826011200,37475,30000,59.7825,7475,1757,"인천광역시 서구 가좌동 611 가좌두산위브트레지움1,2단지아파트",16,1757,1757,115341.76,2826011200
A40482901,석남 우림필유,2826011000,34500,27000,84.924,7500,288,인천광역시 서구 석남동 588 석남 우림필유,4,288,288,22128.1152,2826011000
A40473206,당하 푸르지오아파트,2826011400,34500,27000,73.827,7500,719,인천광역시 서구 당하동 1099-2 당하 푸르지오아파트,11,719,719,61012.267,2826011400
A48072912,한일유앤아이,4115010400,22500,15000,52.8786,7500,700,경기도 의정부시 신곡동 393-11 한일유앤아이,9,700,700,51867.3646,4115010400
A46273001,상대원삼익,4113310500,23500,15750,34.05,7750,264,경기도 성남중원구 상대원동 152-3 상대원삼익,2,264,264,8989.2,4113310500
A42984207,숲속마을,4139013000,26860.52632,19000,59.965,7860.526316,856,경기도 시흥시 장곡동 806 숲속마을,12,856,856,51301.06,4139013000
A45015003,비전경남아너스빌,4122011800,31900,24000,84.986,7900,903,경기도 평택시 비전동 931 비전경남아너스빌,19,903,903,79879.32,4122011800
A10026108,안성원곡제일오투그란데,4155038026,26400,18500,77.17,7900,797,경기도 안성시 원곡면 외가천리 228-12 안성원곡제일오투그란데,10,797,797,51366.61,4155038026
A46790505,현대,4150025023,30175,22000,84.99,8175,362,경기도 이천시 장호원읍 진암리 17-18 현대,4,362,362,28857.18,4150025023
A48270103,,4163011600,24200,16000,84.995,8200,,,,,,,
A44536022,병점역센트럴허브시티,4159011700,41340,33000,84.92626667,8340,1499,경기도 화성시 병점동 817 병점역센트럴허브시티,20,1499,1499,126740.527,4159011700
A40202203,용현성원상떼빌,2817710200,33422.22222,25000,84.9297,8422.222222,550,인천광역시 미추홀구 용현동 649 용현성원상떼빌,7,550,550,46711.335,2817710200
A40772301,계양1차하우스토리,2824510900,38500,30000,84.996,8500,257,인천광역시 계양구 박촌동 311 계양1차하우스토리,5,257,257,24381.065,2824510900
A10026093,용인기흥 우방아이유쉘 아파트,4146310100,45566.66667,37000,74.951,8566.666667,400,경기도 용인기흥구 신갈동 407 용인기흥 우방아이유쉘 아파트,7,400,400,25574.946,4146310100
A44072412,율전밤꽃마을뜨란채,4111113200,41664.28571,33000,84.8,8664.285714,1078,경기도 수원장안구 율전동 546 율전밤꽃마을뜨란채,13,1078,1078,86945.24,4111113200
A47286708,광릉숲금강펜테리움,4136025321,48766.66667,40000,84.9749,8766.666667,500,경기도 남양주시 진접읍 장현리 701 광릉숲금강펜테리움,10,500,500,42481.504,4136025321
A44658108,강남마을9단지한라비발디,4146311700,38783.33333,30000,84.98333333,8783.333333,890,경기도 용인기흥구 상하동 630 강남마을9단지한라비발디,8,890,890,82329.8,4146311700
A10027911,화도효성해링턴플레이스,4136025627,34950,26000,84.98352,8950,635,경기도 남양주시 화도읍 월산리 1527 화도효성해링턴플레이스,7,635,635,52463.8497,4136025627
A44673703,삼성래미안,4146310500,37000,28000,84.885,9000,370,경기도 용인기흥구 보라동 450 삼성래미안,6,370,370,26622.68,4146310500
A10025974,오포문형 양우내안애 아파트,4161011700,31000,22000,84.9961,9000,1028,경기도 광주시 문형동 600 오포문형 양우내안애 아파트,15,1028,1028,87357.4984,4161011700
A10023413,,4183025032,39000,30000,74.9933,9000,,,,,,,
A41503009,풍년마을청구한라,4157010100,34625,25500,59.9725,9125,900,경기도 김포시 북변동 815 풍년마을청구한라,15,900,900,53979,4157010100
A41574413,한강호반베르디움,4157010400,36133.33333,27000,59.98382222,9133.333333,1584,경기도 김포시 장기동 1885-6 한강호반베르디움,15,1584,1584,94979.4055,4157010400
A41383317,한울마을2단지운정벽산블루밍아파트,4148011300,34200,25000,84.556,9200,1260,경기도 파주시 동패동 200-1 한울마을2단지운정벽산블루밍아파트,19,1260,1260,115654.242,4148011300
A10020903,힐스테이트 숭의역,2817710100,34418.2,25000,59.9763,9418.2,748,인천광역시 미추홀구 숭의동 362-19 힐스테이트 숭의역,4,748,748,47322.4722,2817710100
A10023247,,4180025025,25830,16400,69.97942,9430,,,,,,,
A10023892,진접스타힐스  아파트,4136025325,39525,30000,74.9959,9525,1266,경기도 남양주시 진접읍 부평리 703-1 진접스타힐스  아파트,13,1266,1266,88830.6397,4136025325
A44773903,제일하이빌,4137010400,29525,20000,84.8821,9525,370,경기도 오산시 궐동 616-2 제일하이빌,4,370,370,28607.6762,4137010400
A41078302,숲속마을 7단지,4128510700,41238.88889,31444.44444,84.89,9794.444444,982,경기도 고양일산동구 풍동 1261 숲속마을 7단지,9,982,982,81406.85,4128510700
A10024518,,4167012200,37892.30769,28000,84.98347692,9892.307692,,,,,,,
A41503005,북변풍년마을삼성,4157010100,46000,36000,108.755,10000,450,경기도 김포시 북변동 806 북변풍년마을삼성,5,450,450,58651.35,4157010100
A41503004,북변풍년마을신일,4157010100,44062.5,34000,100.517,10062.5,396,경기도 김포시 북변동 812 북변풍년마을신일,5,396,396,45822.26,4157010100
A40579713,논현센트럴뷰,2820011000,41150,31000,59.58,10150,820,인천광역시 남동구 논현동 749-1 논현센트럴뷰,6,820,820,48982.48,2820011000
A44173619,매탄권선역 리버파크,4111313700,43175,33000,59.81,10175,582,경기도 수원권선구 권선동 1304 매탄권선역 리버파크,6,582,582,33786.42,4111313700
A10022378,"강화 서희스타힐스 1,2단지",2871031025,25048.15789,14800,61.85733421,10248.15789,1324,"인천광역시 강화군 선원면 창리 456- 강화 서희스타힐스 1,2단지",18,1324,1324,88355.3337,2871031025
A10022657,,4182025022,37250,27000,84.8166,10250,,,,,,,
A42980104,일우,4139012700,13300,3000,42.72,10300,410,경기도 시흥시 거모동 1474-1 일우,8,410,410,17515.2,4139012700
A42514303,수정한양,4127310900,38450,28000,84.975,10450,1870,경기도 안산단원구 선부동 1086 수정한양,38,1870,1870,153791.612,4127310900
A44675301,신동백롯데캐슬에코1단지,4146311600,60500,50000,99.42,10500,1902,경기도 용인기흥구 중동 1096 신동백롯데캐슬에코1단지,17,1902,1902,188763.62,4146311600
A41282702,옥빛마을12단지,4128112300,37100,26500,60,10600,570,경기도 고양덕양구 화정동 988 옥빛마을12단지,5,570,570,33741.15,4128112300
A42689402,푸른마을주공4단지,4127110300,32675,22000,59.65,10675,327,경기도 안산상록구 사동 1537 푸른마을주공4단지,6,327,327,18594.62,4127110300
A10022761,힐스테이트 남산,1114013600,55000,44000,29.17,11000,282,서울특별시 중구 묵정동 35 힐스테이트 남산,2,282,282,11058.39,1114013600
A44728006,세교데시앙포레,4137010700,42000,31000,123.11,11000,1060,경기도 오산시 금암동 515 세교데시앙포레,19,1060,1075,119645.97,4137010700
A41319001,엘크루 가람마을5단지,4148012200,40000,29000,84.97,11000,821,경기도 파주시 와동동 1332 엘크루 가람마을5단지,12,821,823,67558.21,4148012200
A10025169,오포추자서희스타힐스아파트,4161011800,36150,25000,84.8989,11150,605,경기도 광주시 추자동 586 오포추자서희스타힐스아파트,8,605,607,48770.6883,4161011800
A43081601,한승미메이드,4117110100,41200,30000,59.874,11200,218,경기도 안양만안구 안양동 155-2 한승미메이드,1,218,218,14575.68,4117110100
A40309002,삼산임광그대가,2823710500,42250,31000,84.91,11250,393,인천광역시 부평구 삼산동 500 삼산임광그대가,9,393,393,33369.63,2823710500
A10026716,오산시티자이1단지,4137010200,37955,26700,68.670595,11255,1099,경기도 오산시 부산동 800 오산시티자이1단지,11,1099,1099,81641.9168,4137010200
A10026569,은계센트럴타운,4139010600,40185.71429,28900,51.96,11285.71429,1025,경기도 시흥시 은행동 619 은계센트럴타운,11,1025,1025,69683.88,4139010600
A10025311,평택지제역동문굿모닝힐맘시티2단지,4122010500,32287.5,21000,74.766,11287.5,1030,경기도 평택시 칠원동 559 평택지제역동문굿모닝힐맘시티2단지,13,1030,1030,70977.7135,4122010500
A46475208,오포현대모닝사이드2차,4161011500,38400,27000,84.778,11400,348,경기도 광주시 신현동 588-1 오포현대모닝사이드2차,5,348,348,29502.744,4161011500
A44773304,운암주공2단지,4137010100,33483.33333,22000,84.34,11483.33333,1036,경기도 오산시 오산동 920-2 운암주공2단지,11,1036,1036,87379.84,4137010100
A10022510,공도서희스타힐스,4155025026,34500,23000,84.9851,11500,786,경기도 안성시 공도읍 승두리 936- 공도서희스타힐스,9,786,786,52058.9771,4155025026
A10024613,작전역 서해그랑블아파트,2824510300,42800,31000,59.9887,11800,280,인천광역시 계양구 작전동 443-2 작전역 서해그랑블아파트,3,280,280,17027.801,2824510300
A10025702,영종센트럴푸르지오자이 아파트,2811014600,37322.22222,25000,64.643,12322.22222,1604,인천광역시 중구 운남동 1779 영종센트럴푸르지오자이 아파트,19,1604,1604,120549.215,2811014600
A10027239,,4163011400,35432,23000,58.981916,12432,,,,,,,
A48079902,양주서희스타힐스1단지,4163011000,31500,19000,72.02,12500,207,경기도 양주시 덕정동 538 양주서희스타힐스1단지,4,207,207,16933.45,4163011000
A10025737,간석 한신더휴,2820010200,36500,23625,59.925,12875,643,인천광역시 남동구 간석동 616-6 간석 한신더휴,9,643,643,48049.1435,2820010200
A10026127,반도유보라아이비파크 10.0 1단지,4159013500,42938.88889,30000,59.7731,12938.88889,1241,경기도 화성시 산척동 744 반도유보라아이비파크 10.0 1단지,15,1241,1241,83405.8074,4159013500
A10022099,성저마을 10단지,4128710400,43000,30000,59.05,13000,120,경기도 고양일산서구 대화동 2000- 성저마을 10단지,6,120,120,9565.92,4128710400
A10025618,은계브리즈힐아파트,4139010600,53000,40000,74.91,13000,835,경기도 시흥시 은행동 44 은계브리즈힐아파트,10,835,835,66481.83,4139010600
A15375809,독산주공14단지,1154510200,35033.33333,22000,43.87333333,13033.33333,840,서울특별시 금천구 독산동 1088 독산주공14단지,5,840,840,41208,1154510200
A10023151,힐스테이트푸르지오주안,2817710500,44540,31500,59.964,13040,2958,인천광역시 미추홀구 주안동 1425-2 힐스테이트푸르지오주안,22,2958,2958,201073.94,2817710500
A10024731,초월역 모아 미래도 파크힐스 아파트,4161025322,40240,27000,74.97864,13240,587,경기도 광주시 초월읍 쌍동리 252-7 초월역 모아 미래도 파크힐스 아파트,7,587,587,48188.8003,4161025322
A15004201,당산동대우,1156011200,34900,21600,31.73,13300,536,서울특별시 영등포구 당산동2가 16-1 당산동대우,2,536,536,19302.66,1156011200
A40772202,계양센트레빌1단지,2824511100,46325,33000,84.97565,13325,715,인천광역시 계양구 귤현동 531 계양센트레빌1단지,12,715,715,65428.842,2824511100
A43004001,석수현진에버빌,4117110200,53500,40000,59.99,13500,154,경기도 안양만안구 석수동 413-2 석수현진에버빌,3,154,154,10996.7,4117110200
A10024261,부평지웰에스테이트,2823710600,46550,33000,74.98,13550,151,인천광역시 부평구 갈산동 171 부평지웰에스테이트,3,151,151,10482.18,2823710600
A48073114,장암현대2차,4115010400,40580,27000,82.34,13580,795,경기도 의정부시 신곡동 724-2 장암현대2차,8,795,795,61256.1,4115010400
A10025620,e편한세상신곡파크비스타,4115010400,45696.875,32000,72.93733125,13696.875,1561,경기도 의정부시 신곡동 816 e편한세상신곡파크비스타,13,1561,1561,112430.5371,4115010400
A10023677,동인천역파크푸르지오,2814010700,42700,29000,59.8701,13700,2562,인천광역시 동구 송림동 348 동인천역파크푸르지오,12,2562,2562,153631.1077,2814010700
A44532011,동탄푸른마을신일해피트리,4159011800,41700,28000,59.05,13700,794,경기도 화성시 능동 1150 동탄푸른마을신일해피트리,13,794,794,53034.99,4159011800
A10026301,광주센트럴푸르지오,4161010200,41025,27300,62.9836,13725,1425,경기도 광주시 쌍령동 503 광주센트럴푸르지오,18,1425,1425,108314.2533,4161010200
A46476308,초월롯데낙천대2단지,4161025322,46750,33000,84.93,13750,418,경기도 광주시 초월읍 쌍동리 389 초월롯데낙천대2단지,6,418,418,34560.5,4161025322
A13610001,정릉우방아파트,1129013300,47000,33000,59.98,14000,196,서울특별시 성북구 정릉동 1016 정릉우방아파트,1,196,196,15040.87,1129013300
A10026908,계양 코아루 센트럴파크아파트,2824510600,45000,31000,59.99,14000,724,인천광역시 계양구 용종동 207-1 계양 코아루 센트럴파크아파트,6,724,724,56823.42,2824510600
A10020940,,4180025321,33564,19500,84.936,14064,,,,,,,
A10026178,e편한세상 용인한숲시티6단지,4146125931,37990.90909,23636.36364,77.806,14354.54545,1784,경기도 용인처인구 남사읍 완장리 954 e편한세상 용인한숲시티6단지,15,1784,1784,134588.978,4146125931
A10023306,e편한세상 영종국제도시 센텀베뉴,2811014500,54500,40000,98.03195,14500,1409,인천광역시 중구 중산동 1871-1 e편한세상 영종국제도시 센텀베뉴,16,1409,1409,126881.5637,2811014500
A10028031,구월아시아드선수촌 6단지,2820010100,44684.21053,30000,74.92210526,14684.21053,602,인천광역시 남동구 구월동 1524 구월아시아드선수촌 6단지,7,602,602,47633.14,2820010100
A10023342,주안파크자이더플래티넘,2817710500,44725,30000,59.9145,14725,2054,인천광역시 미추홀구 주안동 830 주안파크자이더플래티넘,13,2054,2054,133230.9679,2817710500
A44072003,정자연꽃마을벽산,4111113000,49800,35000,84.96,14800,392,경기도 수원장안구 정자동 873-3 정자연꽃마을벽산,5,392,392,33304.32,4111113000
A10022813,,4182025021,39833.33333,25000,84.96843333,14833.33333,,,,,,,
A10027199,한강센트럴자이1단지,4157010400,49975,35000,84.96942,14975,3481,경기도 김포시 장기동 2128-1 한강센트럴자이1단지,35,3481,3481,287296.654,4157010400
A13684701,정릉중앙하이츠,1129013300,52000,37000,59.79,15000,261,서울특별시 성북구 정릉동 809 정릉중앙하이츠,4,261,261,19712.04,1129013300
A44072110,화서역파크뷰아파트,4111113000,40000,25000,59.94,15000,530,경기도 수원장안구 정자동 882-5 화서역파크뷰아파트,5,530,530,30605.64,4111113000
A42924001,능곡엘드수목토,4139011800,47000,32000,84.685,15000,272,경기도 시흥시 능곡동 789 능곡엘드수목토,7,272,272,23034.32,4139011800
A15777501,마곡중앙하이츠아파트,1150010900,51044.44444,36000,51.03,15044.44444,930,서울특별시 강서구 방화동 852 마곡중앙하이츠아파트,8,930,930,46610.1,1150010900
A10024363,계양효성해링턴플레이스,2824510400,50576.92308,35461.53846,67.67038462,15115.38462,1669,인천광역시 계양구 서운동 9-13 계양효성해링턴플레이스,16,1669,1669,120457.337,2824510400
A41072715,하늘마을2단지,4128510200,45200,30000,84.695,15200,1000,경기도 고양일산동구 중산동 1700 하늘마을2단지,10,1000,1000,83239.92,4128510200
A42621003,건건이편한세상,4127111100,40222.22222,25000,59.9713,15222.22222,1886,경기도 안산상록구 건건동 987 건건이편한세상,19,1886,1886,136060.9136,4127111100
A10027062,한강신도시 반도유보라3차,4157010800,40260,25030,69.99312,15230,662,경기도 김포시 마산동 640-5 한강신도시 반도유보라3차,14,662,662,46690.4413,4157010800
A10022497,힐스테이트초월역2단지,4161025322,50333.33333,35000,84.9436,15333.33333,506,경기도 광주시 초월읍 쌍동리 402- 힐스테이트초월역2단지,7,506,506,41240.1739,4161025322
A41383315,가람마을8단지동문굿모닝힐,4148012200,32527.77778,17000,84.88966667,15527.77778,1225,경기도 파주시 와동동 205 가람마을8단지동문굿모닝힐,13,1225,1225,98852.635,4148012200
A10023675,옥정역 로제비앙 메트로파크 1단지,4163010800,38650,23000,84.9065,15650,946,경기도 양주시 삼숭동 690 옥정역 로제비앙 메트로파크 1단지,11,946,946,80492.0351,4163010800
A10023431,부평역 한라비발디 트레비앙 아파트,2823710100,36700,21000,39.886,15700,385,인천광역시 부평구 부평동 608-3 부평역 한라비발디 트레비앙 아파트,4,385,385,24277.367,2823710100
